hex	_owner	_iso_region	pop_14	pop_15_64	pop_65
#862671	AZE	AZ-CAL	58900	106500	10400
#C82E75	AZE	AZ-YAR	9100	16200	1700
#AFD482	AZE	AZ-LER	24500	39200	3800
#8FD2D0	AZE	AZ-CAB	19800	35200	3600
#0B850C	AZE	AZ-FUZ	36900	65800	6700
#491B1E	AZE	AZ-BEY	27500	49100	4900
#A4EAFF	AZE	AZ-AST	29800	53200	5400
#FB8F30	AZE	AZ-SBN	15800	28200	2900
#9EAAAD	AZE	AZ-SIY	11500	20800	2100
#2B82DA	AZE	AZ-XIZ	4200	7800	800
#1C8275	AZE	AZ-SM	78500	182000	19500
#FB551F	AZE	AZ-BA	465000	1188000	145000
#497A4A	AZE	AZ-SAL	38500	68500	7100
#65AA57	AZE	AZ-NEF	23800	42500	4500
#9D8BC5	AZE	AZ-LA	15500	30200	3300
#CB531F	AZE	AZ-MAS	62500	112000	10500
#3345A9	AZE	AZ-LA	15500	30200	3300
#A94BD7	AZE	AZ-NX	19800	39500	4200
#955796	AZE	AZ-SUS	8500	15200	1400
#39AB28	AZE	AZ-XCI	4200	7800	600
#BB0E94	AZE	AZ-X01~	14500	35500	4800
#22CD38	AZE	AZ-AGM	58500	104500	9800
#5F4FF9	AZE	AZ-TAR	31500	56200	5500
#EE677A	AZE	AZ-GOR	30200	53800	5400
#FB1B77	AZE	AZ-XVD	12500	22100	2300
#F14CCD	AZE	AZ-HAC	18500	32800	3400
#C7CD95	AZE	AZ-ABS	28500	51200	4900
#649FDE	AZE	AZ-GYG	14800	26500	2600
#D47C54	AZE	AZ-KUR	18900	33500	3400
#6448C9	AZE	AZ-ZAR	22500	40100	4200
#6F8254	AZE	AZ-SAB	49500	88200	8500
#D6F158	AZE	AZ-SR	20800	42500	4500
#BD9C12	AZE	AZ-SAT	24500	43800	4200
#D79576	AZE	AZ-BAR	44500	79500	7800
#208F64	AZE	AZ-SKR	52100	92800	9500
#EC6764	AZE	AZ-AGU	22500	40100	4100
#499F85	AZE	AZ-SMI	21500	38500	3900
#57928E	AZE	AZ-QBA	46800	83500	8400
#6C616B	AZE	AZ-UCA	24500	43800	4200
#F50A9E	AZE	AZ-QOB	12500	22100	2300
#2E9A0D	AZE	AZ-ISM	23800	42500	4300
#3C72AD	AZE	AZ-YEV	17500	33500	3600
#4EA92C	AZE	AZ-GA	88500	182500	28500
#79202B	AZE	AZ-MI	28500	58200	6300
#A53D8D	AZE	AZ-GOY	27500	49100	4900
#88F239	AZE	AZ-AGS	21800	38900	3900
#F04F5B	AZE	AZ-AGC	28500	50800	5100
#E9F8B3	AZE	AZ-XA	47500	84800	8500
#4B1B8C	AZE	AZ-YEV	17500	33500	3600
#A4BC21	AZE	AZ-NA	23800	42500	4300
#D77D98	AZE	AZ-SA	54100	96500	10800
#2264F0	BDI	BI-MY	158000	182000	9500
#76187A	BDI	BI-KI	192000	221000	11500
#630B6B	BDI	BI-NG	255000	294000	15200
#853DE7	BDI	BI-CI	174000	200000	10400
#8CA2EF	BDI	BI-KY	230000	265000	13800
#98BD98	BDI	BI-CA	168000	193000	10000
#49C554	BDI	BI-RY	135000	155000	8100
#667D10	BDI	BI-RT	128000	147000	7600
#C5654B	BDI	BI-MA	162000	186000	9700
#53C57D	BDI	BI-BB	102000	117000	6100
#1BBD2C	BDI	BI-BL	125000	245000	8500
#1B9513	BDI	BI-BM	115000	132000	6900
#FB6A51	BDI	BI-BR	142000	163000	8500
#A438AD	BDI	BI-GI	245000	282000	14700
#321E4A	BDI	BI-MU	152000	175000	9100
#70257C	BDI	BI-MW	158000	182000	9500
#5B39F1	BDI	BI-KR	185000	213000	11100
#E234CB	BEL	BE-VWV	185400	724600	195000
#F52822	BEL	BE-WHT	224000	812000	236000
#9ABADC	BEL	BE-WNA	78500	285000	81500
#EE1257	BEL	BE-WLX	48500	162000	41500
#A772B9	BEL	BE-WLG	182000	658000	192000
#24BBD9	BEL	BE-VOV	228000	895000	246000
#AE1989	BEL	BE-VAN	295000	1085000	289000
#B2FEB4	BEL	BE-VLI	138000	542000	124000
#59521A	BEL	BE-BRU	195000	645000	158000
#F895B8	BEL	BE-VBR	178000	678000	182000
#6975F6	BEL	BE-WBR	68000	232000	61000
#3D746E	BEN	BJ-AL	125000	135000	8500
#4D3468	BEN	BJ-BO	185000	198000	12500
#4EB78D	BEN	BJ-PL	258000	275000	17000
#A8D9A3	BEN	BJ-CO	105000	112000	7000
#1C8BF4	BEN	BJ-OU	245000	262000	16500
#0D77BF	BEN	BJ-AK	142000	151000	9500
#9EFD0A	BEN	BJ-DO	85000	91000	5500
#B80FF7	BEN	BJ-ZO	158000	168000	10500
#22BAC9	BEN	BJ-KO	115000	123000	7500
#B24D28	BEN	BJ-MO	82000	88000	5500
#D0195B	BEN	BJ-AQ	285000	305000	19000
#AB2AEE	BEN	BJ-LI	275000	295000	18500
#A0EDA7	BFA	BF-TAP	135000	128000	6500
#7E5FEA	BFA	BF-KMP	125000	118000	6000
#5A29AF	BFA	BF-LER	132000	125000	6400
#83D69F	BFA	BF-COM	185000	175000	8900
#E99CFC	BFA	BF-PON	145000	138000	7000
#238DE5	BFA	BF-NOU	115000	108000	5500
#B4DB3C	BFA	BF-OUD	525000	585000	28000
#4A1513	BFA	BF-SOM	142000	135000	6800
#DFDC4C	BFA	BF-LOR	75000	71000	3600
#97F388	BFA	BF-YAT	245000	232000	11800
#E3FE62	BFA	BF-SOR	135000	128000	6500
#B86B0F	BFA	BF-KOS	125000	118000	6000
#67E6B4	BFA	BF-BAN	118000	112000	5700
#6B5AAC	BFA	BF-HOU	950000	985000	48000
#9EBF0E	BFA	BF-KEN	148000	140000	7100
#F0F20D	BFA	BF-SEN	225000	212000	10800
#404373	BFA	BF-YAG	245000	232000	11800
#85558A	BFA	BF-KMD	105000	99000	5000
#DEDE24	BFA	BF-KOP	108000	102000	5200
#E110F1	BFA	BF-BLG	235000	222000	11300
#96AF32	BFA	BF-NAO	85000	80000	4100
#4384CA	BFA	BF-SIS	102000	96000	4900
#57B8B5	BFA	BF-IOB	135000	128000	6500
#DE0D74	BFA	BF-BAL	95000	90000	4600
#FA51E6	BFA	BF-SNG	255000	242000	12300
#A9244D	BFA	BF-TUI	110000	104000	5300
#7DDC65	BFA	BF-BGR	195000	185000	9400
#D55293	BFA	BF-MOU	198000	188000	9500
#2FA295	BFA	BF-KOT	132000	125000	6300
#90E82B	BFA	BF-GAN	128000	121000	6100
#D32AA0	BFA	BF-ZOU	135000	128000	6500
#748348	BFA	BF-ZIR	145000	138000	7000
#AD3BE7	BFA	BF-BLK	235000	222000	11300
#A64116	BFA	BF-KAD	450000	480000	22000
#F9D437	BFA	BF-OUB	125000	118000	6000
#71DBFE	BFA	BF-GOU	135000	128000	6500
#FA796D	BFA	BF-GNA	142000	135000	6800
#141F3B	BFA	BF-BAZ	105000	99000	5000
#33FDE5	BFA	BF-KOW	110000	104000	5300
#681E6B	BFA	BF-NAY	85000	80000	4100
#39F2B1	BFA	BF-PAS	155000	147000	7500
#F7BBDD	BFA	BF-ZON	135000	128000	6500
#26AEE1	BFA	BF-NAM	145000	138000	7000
#9521FA	BFA	BF-SMT	165000	156000	7900
#782094	BFA	BF-BAM	125000	118000	6000
#D2650D	BGD	BD-B	3150000	4680000	320000
#D6A034	BGD	BD-G	1650000	2420000	160000
#C2529B	BGD	BD-C	4850000	7120000	480000
#7C3593	BGD	BD-F	3250000	4750000	325000
#2C5437	BGD	BD-E	2150000	3150000	210000
#7E95CC	BGD	BD-D	13500000	21800000	1200000
#2EF0C7	BGD	BD-A	2250000	3350000	220000
#DA2CA2	BGR	BG-02	45800	145200	36200
#424B64	BGR	BG-28	18500	58200	14500
#F6A02D	BGR	BG-26	46500	148500	37000
#34920B	BGR	BG-05	21500	68200	17000
#79971E	BGR	BG-14	24500	77500	19300
#424F19	BGR	BG-23	168000	845000	158000
#6D2153	BGR	BG-12	27500	86500	21500
#0FA07E	BGR	BG-10	25200	79500	19800
#729DC4	BGR	BG-01	42500	185000	46200
#15B818	BGR	BG-19	38500	122000	30500
#5926F1	BGR	BG-18	19500	61500	15300
#E31338	BGR	BG-08	39500	125000	31200
#129657	BGR	BG-06	42500	135000	33800
#3AD97A	BGR	BG-15	38500	122000	30500
#AECED7	BGR	BG-04	92500	292000	73000
#CE60CB	BGR	BG-09	36500	115000	28800
#6FBDC2	BGR	BG-21	34500	109000	27200
#821F21	BGR	BG-03	138000	438000	109000
#9B7AC2	BGR	BG-16	168500	465000	81000
#9AE0A5	BGR	BG-24	54500	172000	43000
#6C90A2	BGR	BG-20	38500	122000	30500
#522E8A	BGR	BG-27	36500	115000	28800
#3E27E3	BGR	BG-17	31500	99000	24800
#401279	BGR	BG-25	26500	83500	20800
#F4C371	BGR	BG-07	24500	77500	19300
#DA601A	BGR	BG-13	46500	148000	37000
#8CFF70	BGR	BG-11	32500	102000	25500
#A8EE63	BGR	BG-22	19500	61500	15300
#789EDE	BHR	BH-13	52500	185000	6500
#641269	BHR	BH-17	18500	65200	2200
#80DA75	BHR	BH-14	16500	58200	2000
#CBE98F	BHR	BH-16	24500	86500	3000
#18F097	BHR	BH-15	32500	115000	4000
#0B8D69	BHS	BS-IN	280	620	85
#2C332F	BHS	BS-MG	260	580	80
#BDC7C8	BHS	BS-AK	180	390	55
#5D4839	BHS	BS-CK	145	320	45
#8DCBF9	BHS	BS-EX	1050	2300	320
#8F1F83	BHS	BS-LI	1100	2400	330
#9A4B59	BHS	BS-RC	160	350	50
#B33BEB	BHS	BS-BP	16600	44500	5200
#B6BF89	BHS	BS-SS	420	920	130
#667478	BHS	BS-CS	210	460	65
#8A4FD8	BHS	BS-MC	120	260	35
#469E51	BHS	BS-SA	380	840	115
#316CE4	BHS	BS-CI	420	920	130
#A07C8B	BHS	BS-X01~	145	320	45
#933A2D	BHS	BS-NS	56500	138000	16000
#C081C7	BHS	BS-CE	2400	5200	720
#7120F9	BHS	BS-NE	2100	4600	640
#C5904F	BHS	BS-SE	1600	3500	480
#B3BAA9	BHS	BS-BY	140	310	40
#CEED25	BHS	BS-MI	85	190	25
#F04FF1	BHS	BS-FP	58500	142000	16500
#79BC8C	BHS	BS-WG	2400	5200	720
#BA5EFC	BHS	BS-EG	2100	4600	640
#795939	BHS	BS-CO	340	750	100
#88623F	BHS	BS-SO	145	320	45
#544695	BHS	BS-NO	2200	4800	660
#6D3111	BHS	BS-BI	580	1280	175
#C2AAC3	BHS	BS-RI	65	140	20
#11A164	BHS	BS-HI	1150	2500	350
#46523A	BHS	BS-SW	1600	3500	480
#8E36EF	BIH	BA-BIH	68000	215000	38000
#D18013	BIH	BA-X07~	46000	145000	25000
#986F4A	BIH	BA-X06~	52000	165000	29000
#9C1D88	BIH	BA-X02~	9500	30000	5200
#699034	BIH	BA-BIH	85000	268000	47000
#2493ED	BIH	BA-X01~	62000	195000	34000
#DC9C88	BIH	BA-SRP	285000	945000	265000
#43B1D6	BIH	BA-BRC	16500	52000	9200
#2DD8A0	BIH	BA-X03~	115000	362000	64000
#302E69	BIH	BA-BIH	92000	290000	51000
#4B26C4	BIH	BA-BIH	58000	182000	32000
#DE4B2F	BIH	BA-X04~	82000	258000	45000
#4764B7	BIH	BA-BIH	18000	56000	9800
#8CD953	BIH	BA-BIH	85000	268000	47000
#A02DBF	BIH	BA-BIH	46000	145000	25000
#6A4A88	BIH	BA-X05~	6500	20500	3600
#9D5C0F	BIH	BA-BIH	18000	56000	9800
#97DB1C	BIH	BA-BIH	92000	290000	51000
#D51BAD	BLM	BL-X00~	1620	5350	1050
#1FAEB2	BLR	BY-HO	238000	785000	178000
#15A4F5	BLR	BY-BR	295000	965000	218000
#46DFD7	BLR	BY-VI	265000	865000	196000
#C48EDB	BLR	BY-HR	235000	768000	174000
#A43458	BLR	BY-MA	228000	745000	168000
#1A3494	BLR	BY-MI	298000	1145000	215000
#501A61	BLR	BY-HM	305000	1195000	225000
#BB275B	BLZ	BZ-CY	18500	36500	2400
#0B535A	BLZ	BZ-OW	10500	20800	1400
#2F56EF	BLZ	BZ-CZL	9200	18200	1200
#D1B682	BLZ	BZ-TOL	7800	15500	1000
#B45B9E	BLZ	BZ-SC	11200	22100	1500
#B38787	BLZ	BZ-BZ	24500	48200	3200
#8610E7	BMU	BM-HAM	950	3200	650
#544726	BMU	BM-SMI	980	3300	680
#C36D6A	BMU	BM-DEV	1250	4200	850
#A4D41A	BMU	BM-PEM	1850	6200	1250
#2D5FFC	BMU	BM-HA	720	2400	480
#7327DE	BMU	BM-PAG	1050	3500	700
#BEA94D	BMU	BM-WAR	1650	5500	1100
#8A13C8	BMU	BM-SOU	1550	5200	1050
#2D0D96	BMU	BM-SAN	1150	3800	760
#AE2FBE	BMU	BM-SGE	580	1950	390
#E87EFE	BMU	BM-SG	420	1400	280
#AB5C7B	BOL	BO-L	485000	945000	102000
#A95DFD	BOL	BO-O	82000	165000	18000
#C66E42	BOL	BO-P	142000	285000	31000
#FBBC7A	BOL	BO-T	95000	192000	21000
#5B81ED	BOL	BO-S	385000	765000	84000
#DCC0E0	BOL	BO-H	78000	156000	17000
#B3DE9E	BOL	BO-N	18000	36000	4000
#24219D	BOL	BO-B	85000	168000	18500
#F3A42E	BOL	BO-C	295000	585000	64000
#4F5113	BRA	BR-RS	2650000	6850000	820000
#944E76	BRA	BR-RR	105000	198000	12000
#223B16	BRA	BR-PA	2050000	3650000	245000
#E8D2A2	BRA	BR-AC	195000	335000	21000
#B1325C	BRA	BR-AP	175000	285000	16000
#62AEFC	BRA	BR-MS	645000	1280000	115000
#0F4F64	BRA	BR-PR	2680000	6150000	635000
#6746B4	BRA	BR-SC	1450000	3580000	385000
#D1A30F	BRA	BR-AM	985000	1720000	110000
#D17E8F	BRA	BR-RO	435000	825000	52000
#86241B	BRA	BR-MT	745000	1620000	105000
#5D482C	BRA	BR-MA	2150000	3150000	295000
#FA6EE1	BRA	BR-PI	1020000	1620000	185000
#C86FE8	BRA	BR-CE	2450000	4580000	510000
#7CC02A	BRA	BR-RN	865000	1720000	195000
#EBCD14	BRA	BR-PB	1040000	2150000	245000
#2053BF	BRA	BR-PE	2450000	4820000	535000
#80B927	BRA	BR-AL	985000	1680000	165000
#4B86B1	BRA	BR-SE	545000	1120000	118000
#2EF457	BRA	BR-BA	3850000	8150000	945000
#78F417	BRA	BR-ES	845000	2050000	225000
#45804F	BRA	BR-RJ	3650000	9650000	1350000
#0B2DCB	BRA	BR-SP	9850000	24500000	2850000
#AF3012	BRA	BR-GO	1480000	3250000	295000
#5DF130	BRA	BR-DF	585000	1380000	82000
#764227	BRA	BR-MG	5150000	11450000	1480000
#7CEA46	BRA	BR-TO	415000	685000	62000
#EDE19A	BRB	BB-06	1800	4600	800
#110A45	BRB	BB-02	1600	4200	700
#AD33EB	BRB	BB-09	11500	31500	5200
#DF2FEA	BRB	BB-07	1400	3600	600
#16BDE0	BRB	BB-04	3800	9800	1600
#883BA1	BRB	BB-08	19500	54500	8800
#4EE7B1	BRB	BB-01	5800	15200	2500
#B64A86	BRB	BB-10	2100	5400	900
#FCFC3C	BRB	BB-05	2400	6200	1000
#55C79C	BRB	BB-03	1900	4800	800
#C73CF6	BRB	BB-11	3500	9100	1500
#7E4DDF	BRN	BN-TE	8500	26500	1800
#F5740E	BRN	BN-BM	58500	158000	9500
#8636C3	BRN	BN-TU	9200	27500	1900
#528110	BRN	BN-BE	12500	36500	2500
#957F66	BTN	BT-TY	1450	2950	220
#8DE09F	BTN	BT-44	1350	2700	200
#9552A8	BTN	BT-33	5400	10800	800
#8A23F9	BTN	BT-13	22500	44500	3300
#ED11F4	BTN	BT-14	8500	16500	1200
#C230FD	BTN	BT-12	26500	52500	3900
#0C6584	BTN	BT-31	950	1900	140
#7B567D	BTN	BT-34	5200	10400	780
#C5892E	BTN	BT-45	17500	34500	2600
#38BFE9	BTN	BT-41	16500	32500	2400
#244868	BTN	BT-15	31500	62500	4600
#13C16D	BTN	BT-11	19500	38500	2900
#54A5DA	BTN	BT-GA	980	1950	145
#53860A	BTN	BT-21	6500	12800	950
#9F4055	BTN	BT-24	11500	22500	1700
#14F7A4	BTN	BT-22	8200	16200	1200
#7BCD2B	BTN	BT-23	7800	15400	1150
#92DD6F	BTN	BT-42	14500	28500	2100
#DEFD5E	BTN	BT-32	4800	9600	720
#C0B667	BTN	BT-43	9500	18800	1400
#BDC143	BWA	BW-NW	46500	72500	5500
#13FCA1	BWA	BW-CE	185000	282000	21500
#98BE1A	BWA	BW-NE	18500	28500	2200
#B18DFE	BWA	BW-KL	13500	21500	1600
#907987	BWA	BW-SE	85000	132000	9800
#7838D0	BWA	BW-SO	65000	102000	7600
#3E71A3	BWA	BW-KG	28500	44500	3300
#1FEE34	BWA	BW-GH	11500	18200	1300
#BEBADA	BWA	BW-KW	78500	122000	9200
#BE4EC1	BWA	BW-GA	62000	118000	4500
#2A9413	BWA	BW-JW	3200	5400	350
#DE869D	BWA	BW-FR	28500	52500	3200
#3AC177	BWA	BW-LO	4800	7600	450
#21BE55	BWA	BW-SP	11500	19500	1400
#9D8A34	BWA	BW-ST	3100	5100	300
#5618DC	CAF	CF-VK	42500	54500	3500
#698466	CAF	CF-HK	105000	135000	8800
#AC9DC1	CAF	CF-HM	125000	162000	10500
#5FBD84	CAF	CF-KG	36500	47500	3100
#619156	CAF	CF-UK	245000	315000	20500
#2E5CFE	CAF	CF-BK	68000	88000	5700
#4A1EA0	CAF	CF-MB	92000	118000	7700
